"Gene_Id","padj","logFC","Regulation"
"203913_s_at",0.008014,-3.5085203,"Downregulated"
"229740_at",0.008014,-2.606567,"Downregulated"
"238615_at",0.008014,-1.1987437,"Downregulated"
"213624_at",0.008014,-1.2151709,"Downregulated"
"201535_at",0.008014,-1.4608716,"Downregulated"
"218487_at",0.008014,-1.065235,"Downregulated"
"225726_s_at",0.008014,-1.1431647,"Downregulated"
"238617_at",0.008092,2.0574511,"Upregulated"
"225687_at",0.008144,1.6107055,"Upregulated"
"219562_at",0.008241,-1.6230493,"Downregulated"
"206885_x_at",0.008251,-2.2005077,"Downregulated"
"206556_at",0.008251,-2.8468237,"Downregulated"
"231555_at",0.008251,-1.5507243,"Downregulated"
"208147_s_at",0.008251,-2.5299444,"Downregulated"
"228929_at",0.008251,-1.3401498,"Downregulated"
"216080_s_at",0.008251,1.5694341,"Upregulated"
"1553530_a_at",0.008251,1.0434826,"Upregulated"
"201534_s_at",0.008251,-1.7564404,"Downregulated"
"242271_at",0.008251,-4.0798108,"Downregulated"
"238178_at",0.008251,-1.093515,"Downregulated"
"225874_at",0.008251,-1.488681,"Downregulated"
"233805_at",0.008251,-2.3309018,"Downregulated"
"220318_at",0.008254,-1.8748352,"Downregulated"
"1559631_at",0.008301,-1.0546754,"Downregulated"
"210002_at",0.008304,-1.797253,"Downregulated"
"214091_s_at",0.008304,-1.338384,"Downregulated"
"203167_at",0.008355,1.0471557,"Upregulated"
"1557474_at",0.008355,-2.930879,"Downregulated"
"227629_at",0.008357,-1.8970453,"Downregulated"
"222450_at",0.008361,1.9374348,"Upregulated"
"229006_at",0.008398,-1.2919189,"Downregulated"
"218967_s_at",0.008398,-1.0558976,"Downregulated"
"220161_s_at",0.008486,-1.5895673,"Downregulated"
"217294_s_at",0.008592,1.4491932,"Upregulated"
"1565909_at",0.008618,-1.4229498,"Downregulated"
"209875_s_at",0.008638,3.3893749,"Upregulated"
"208875_s_at",0.008682,1.1034602,"Upregulated"
"212800_at",0.008682,1.1046608,"Upregulated"
"236279_at",0.008682,-1.0884699,"Downregulated"
"206429_at",0.008682,-1.6549697,"Downregulated"
"205102_at",0.008703,-1.4000728,"Downregulated"
"206224_at",0.008703,3.561329,"Upregulated"
"219802_at",0.008703,-1.1209419,"Downregulated"
"201162_at",0.008704,1.3692768,"Upregulated"
"242998_at",0.008764,-3.6224081,"Downregulated"
"213492_at",0.008783,-3.632564,"Downregulated"
"1554714_at",0.008783,-1.8997355,"Downregulated"
"242733_at",0.008783,-3.5182512,"Downregulated"
"1566935_at",0.008785,-1.8326354,"Downregulated"
"219398_at",0.008787,-1.6291401,"Downregulated"
"203074_at",0.008796,2.160444,"Upregulated"
"240826_at",0.008897,2.0162063,"Upregulated"
"206392_s_at",0.008926,2.2302606,"Upregulated"
"204320_at",0.00893,4.4773318,"Upregulated"
"222016_s_at",0.00893,-1.1499849,"Downregulated"
"208440_at",0.009004,-1.4217165,"Downregulated"
"1552834_at",0.009004,-2.9865555,"Downregulated"
"212563_at",0.009004,1.096152,"Upregulated"
"1553907_a_at",0.009004,-2.4707344,"Downregulated"
"1565598_at",0.009123,-1.2090821,"Downregulated"
"204068_at",0.009171,1.059411,"Upregulated"
"220753_s_at",0.009175,-1.1114688,"Downregulated"
"207924_x_at",0.009183,-2.0517433,"Downregulated"
"205165_at",0.009197,1.9216114,"Upregulated"
"214175_x_at",0.009199,1.0021973,"Upregulated"
"202730_s_at",0.009237,-1.2381202,"Downregulated"
"235944_at",0.009254,1.9939599,"Upregulated"
"202766_s_at",0.009268,1.7708897,"Upregulated"
"234556_at",0.009294,-2.957226,"Downregulated"
"226384_at",0.009294,-1.1114821,"Downregulated"
"218029_at",0.009294,1.8383422,"Upregulated"
"206391_at",0.009294,2.3214493,"Upregulated"
"204736_s_at",0.009363,1.6382291,"Upregulated"
