"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"mmu-mir-291a-3p-A.1",-0.147023477980469,6.93034323015646,-1.45533291286519,0.152849500728573,0.332662887876851,-5.48600423423724,"Not Significant"
"Hcd735 right",-0.152632076826603,7.17396448625249,-1.4551174456679,0.152908857570131,0.332679686650124,-5.48630319788229,"Not Significant"
"uc.101+A",-0.16536314675241,6.80390431941208,-1.45498481439677,0.152945403819768,0.332679686650124,-5.48648720566597,"Not Significant"
"mmu-miR-367-A",0.149119778776864,7.06813998976393,1.45495113913538,0.152954684057498,0.332679686650124,-5.48653392308079,"Not Significant"
"mmu-miR-720-P",-0.172797506983548,6.89383902810112,-1.45470979535136,0.153021206621146,0.332753696283826,-5.48686870873516,"Not Significant"
"uc.326+",-0.189528761815815,10.6597197503259,-1.45355891762919,0.15333874110585,0.333373398922273,-5.4884644850124,"Not Significant"
"Hcd649 right.1",-0.176352733620234,6.66769987833667,-1.45303346943753,0.153483887978982,0.333599779591925,-5.48919267774428,"Not Significant"
"Blank.1303",0.158853134734551,6.62476647378349,1.45294613375639,0.153508023577847,0.333599779591925,-5.48931368888524,"Not Significant"
"hsa-mir-519a1-3p-A",-0.158477693357248,7.09298416946279,-1.45254124946719,0.15361995415814,0.333772189811024,-5.48987460516955,"Not Significant"
"hsa-mir-568-A.1",-0.162661237930791,6.57603027787857,-1.45221943318886,0.153708966331573,0.333894742307022,-5.49032034033475,"Not Significant"
"Blank.732",0.185225746850821,6.5384172980494,1.45182337531236,0.153818568931467,0.33406196094554,-5.49086878204321,"Not Significant"
"hsa-mir-519c-3p-A",-0.171432138044523,6.81936004887182,-1.4516266564799,0.153873030535193,0.33410937927913,-5.49114113844198,"Not Significant"
"Hcd330 right",0.212418300023503,7.37420961341873,1.45139200016168,0.153938014974167,0.334179621228635,-5.49146597547814,"Not Significant"
"hsa-mir-369-5p-A",-0.168555442258087,6.54982950962733,-1.45097298896587,0.154054107349864,0.334360758639808,-5.49204589865245,"Not Significant"
"hsa-mir-155-A.1",0.341557494336033,10.8554038831248,1.45075668177592,0.154114064956878,0.334418379179646,-5.49234521456245,"Not Significant"
"hsa-mir-519c-3p-A.1",-0.166212151796662,6.9034714213769,-1.45064159997103,0.154145971653118,0.334418379179646,-5.49250444300565,"Not Significant"
"Blank.103",0.157444856057875,6.56417028020522,1.44978017673338,0.154384968293647,0.334865934193379,-5.49369595476764,"Not Significant"
"mmu-miR-676-3p-A.1",-0.155268438696115,8.877563565322,-1.44924442963891,0.154533755003878,0.335117672858897,-5.49443667172551,"Not Significant"
"Hcd76 left",-0.17514561009394,6.60472920839431,-1.44874820119953,0.154671667238955,0.335345727826995,-5.49512252976092,"Not Significant"
"Hcd406 left.1",-0.347061048761553,8.4770594683857,-1.44834156232548,0.154784752797488,0.335519870585579,-5.49568440390015,"Not Significant"
"uc.359+.1",-0.213069621248241,8.09077230365977,-1.44762539489182,0.154984075759148,0.335880832967974,-5.4966736227827,"Not Significant"
"mmu-mir-210-A.1",0.214336611748233,7.48627855934633,1.4469008029154,0.155185948725647,0.336247167784727,-5.49767402764344,"Not Significant"
"hsa-let-7a2-P.1",0.16204799109145,8.02306303927434,1.44634489163828,0.155340966924682,0.336511847114183,-5.49844123693545,"Not Significant"
"Hcd593 left.1",0.230552889190394,8.20874647038545,1.44578555737467,0.155497062430265,0.336731498655474,-5.4992129009697,"Not Significant"
"Blank.231",0.160470695873157,6.54242876507883,1.44574591382289,0.155508130580248,0.336731498655474,-5.49926758342132,"Not Significant"
"HPR246 left.1",0.17191633342915,6.95732749268206,1.44545407571221,0.155589628406818,0.336824361958902,-5.49967008942258,"Not Significant"
"Hcd940 right",-0.199507018916714,6.85288898698728,-1.44535679426433,0.155616802385504,0.336824361958902,-5.49980424461049,"Not Significant"
"uc.170+",0.202176317206167,9.61967473221109,1.44497611098222,0.155723175870904,0.336908328822751,-5.50032914422025,"Not Significant"
"Hcd605 left",-0.132984023340697,6.83278524199933,-1.44483356890686,0.155763020782964,0.336908328822751,-5.50052565408282,"Not Significant"
"hsa-mir-330-P.1",-0.220024843758084,8.76585971216296,-1.44480363986267,0.155771387892364,0.336908328822751,-5.50056691231906,"Not Significant"
"hsa-mir-380-3p-A.1",-0.149812157199649,6.69813357234773,-1.44474708046742,0.155787200876536,0.336908328822751,-5.50064487931499,"Not Significant"
"Blank.518",0.194451716003429,6.61529719081836,1.4436978563417,0.156080773699355,0.33747194313374,-5.50209073128119,"Not Significant"
"mmu-mir-130a-P.1",-0.174477303273306,6.9574493377339,-1.44338880768856,0.15616732827302,0.337587806948643,-5.50251642523834,"Not Significant"
"Blank.202",0.131600844307991,6.50874624765065,1.44281732135723,0.156327482479743,0.337862689023336,-5.5033033922594,"Not Significant"
"Blank.543",0.134305605003329,6.68269378866596,1.44268190334389,0.156365451125254,0.33787343733332,-5.5034898286988,"Not Significant"
"HPR250 right.1",-0.184288835491509,6.83340792444292,-1.44239383500199,0.15644624411478,0.337976696146697,-5.50388637342278,"Not Significant"
"Blank.1521",0.146057356065156,6.59374475815361,1.44206550210353,0.15653836985192,0.338104388796385,-5.50433825747394,"Not Significant"
"uc.401+A",0.157000045059982,7.94538832414267,1.441045824897,0.156824748908897,0.338625851536166,-5.50574104366344,"Not Significant"
"Hcd139 right.1",-0.148529263973297,7.38899484888331,-1.44097043437875,0.156845938851175,0.338625851536166,-5.50584472392424,"Not Significant"
"Hcd628 right.1",0.176048761327929,7.15260539460982,1.44081983464378,0.156888274505278,0.338645853906839,-5.50605182040324,"Not Significant"
